Domain,Sub_domains,DNS,Have_IP,Have_At,URL_Length,HTTP_Domain,URL_Depth,Redirection,Tiny_URL,Prefix/Suffix,iframe,Mouse_over,Right_click,forwards,login_form,SSL_certificate,domain_age,domain_end,unusual_character,has_javascript,source_code,privacy_policy,Label
500px.com,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
interpark.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
mirtesen.ru,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
nesn.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
distractify.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
distractify.com,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
plarium.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
sputniknews.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
abc.go.com,1,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
sputniknews.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
kickass.to,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
depositphotos.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
indianexpress.com,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
torcache.net,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
elitedaily.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
torcache.net,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
pornsharing.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
olx.in,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
torcache.net,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
thenextweb.com,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
thenextweb.com,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
wikiwiki.jp,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
distractify.com,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
kienthuc.net.vn,1,1,0,0,1,0,2,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
kenh14.vn,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
torcache.net,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
mashable.com,0,1,0,0,1,0,6,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
pornsharing.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
kenh14.vn,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
espn.go.com,1,1,0,0,1,0,7,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
olx.ro,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
bestblackhatforum.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
censor.net.ua,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
mic.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
motthegioi.vn,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
nypost.com,0,1,0,0,1,0,4,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0
gtbank.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
superuser.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
askubuntu.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0
medium.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
bankmellat.ir,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
extratorrent.cc,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
motherless.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
babal.net,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
udn.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
olx.ro,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
qz.com,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
depositphotos.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
comicbook.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
olx.ua,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
kenh14.vn,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
udn.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
babal.net,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
gtbank.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
squarespace.com,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
olx.ua,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
sourceforge.net,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
perezhilton.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
extratorrent.cc,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
distractify.com,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
motthegioi.vn,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
extratorrent.cc,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
sfglobe.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
cox.com,0,1,0,0,1,0,3,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0
ecnavi.jp,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
dantri.com.vn,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
jezebel.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
techcrunch.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
stackoverflow.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
udn.com,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
maybank2u.com.my,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
variety.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
pitchfork.com,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
twitter.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
lifehacker.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
thenextweb.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
udn.com,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
arstechnica.com,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
eksisozluk.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
correios.com.br,1,1,0,0,1,0,4,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
hollywoodlife.com,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
censor.net.ua,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
torcache.net,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
sfglobe.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
superuser.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0
olx.ro,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
steamcommunity.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
plarium.com,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
torcache.net,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
torcache.net,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
comicbook.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
extratorrent.cc,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
superuser.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0
torcache.net,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
distractify.com,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
olx.ro,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
olx.co.id,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
www.gov.uk,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
plarium.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
extratorrent.cc,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
tunein.com,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
espn.go.com,1,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
twitter.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
ap.org,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
uproxx.com,0,1,0,0,1,0,4,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0
deadspin.com,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
ringring.vn,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
metro.co.uk,1,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
worldoftanks.ru,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
babal.net,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
tunein.com,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
tunein.com,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
bdnews24.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
atwiki.jp,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
pitchfork.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
mic.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
variety.com,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
medium.com,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
aljazeera.net,0,1,0,0,1,0,6,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
twitter.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
www.gov.uk,1,1,0,0,1,0,3,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0
emgn.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
plarium.com,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
olx.co.id,1,1,0,0,1,0,5,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
kenh14.vn,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
sfglobe.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
persianblog.ir,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
otomoto.pl,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
slashdot.org,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
indianexpress.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
kenh14.vn,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
olx.ua,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
sourceforge.net,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
syosetu.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
nymag.com,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
sourceforge.net,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
thenextweb.com,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
cheezburger.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
atwiki.jp,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
sourceforge.net,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
ink361.com,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
getpocket.com,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0
genius.com,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
elitedaily.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
emgn.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
emgn.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
icicibank.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1337x.to,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
olx.ro,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
mic.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
fortune.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
yourlust.com,0,1,0,0,1,0,2,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0
tobogo.net,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
olx.ro,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
emgn.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
web.de,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
tobogo.net,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
tobogo.net,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
interpark.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
hdfcbank.com,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
tunein.com,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
torcache.net,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
teespring.com,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
elcomercio.pe,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
skyrock.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
bdnews24.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
faithtap.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
censor.net.ua,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
superuser.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0
otomoto.pl,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
dantri.com.vn,1,1,0,0,1,0,3,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
themeforest.net,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
seesaawiki.jp,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
askubuntu.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0
teespring.com,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
medium.com,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
privatbank.ua,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
extratorrent.cc,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
privatbank.ua,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
espn.go.com,1,1,0,0,1,0,8,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
depositphotos.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
privatbank.ua,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
emgn.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
tunein.com,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
